Date,Rainfall,Temp,Humidity,Wind Speed,Solar Rad,SO2,NO2,CO,O3,PM2.5,PM10
3/11/2013,0,26.5,68,2,258,8.56,33.49,2.05,18.95,75,133.23
3/12/2013,0,27.5,70,2,259.85,8.44,32.35,5.01,22.31,50.09,95.21
3/13/2013,0,26.8,74,2,273.44,7.39,43.55,1.55,18.8,63.6,111.47
3/14/2013,8,28.3,66,2,274.99,6.11,40.31,2.21,18.45,94.08,136.85
3/15/2013,0,29.5,58,2.5,280.73,6.643333333,43.29666667,1.81,23.33,100.3833333,169.1166667
3/16/2013,0,28.5,53,2,286.47,7.176666667,46.28333333,1.41,28.21,106.6866667,201.3833333
3/17/2013,0,26,55,3,292.21,7.71,49.27,1.01,33.09,112.99,233.65
3/18/2013,0,26.4,44,2.5,260.54,12.55,26.17,1.09,36.15,76.42,136.53
3/19/2013,0,27.9,50,2,380.08,8.99,35.69,0.88,33.5,57.01,118.5
3/20/2013,0,28.4,54,2.5,397.67,9.17,42.99,1.02,29.49,49.72,136.24
3/21/2013,0,28.5,57,3,470.43,6.32,41.35,0.9,25.43,101.79,136.14
3/22/2013,0,27.9,51,2,377.02,11.59,54.36,0.92,22.86,130.48,222.07
3/23/2013,17,28.1,72,2,372.53,12.11,57.05,1.75,16.95,126.03,124.31
3/24/2013,1,29.2,69,2,367.99,10.1,48.43,0.93,21.35,57.8,101.83
3/25/2013,0,29.7,63,2,288.75,5.8,38.13,0.77,31.28,101.53,110.93
3/26/2013,0,30.2,56,2,285.11,3.78,22.11,0.63,25.78,61.09,114.26
3/27/2013,0,29.7,55,2,288.33,9.52,28.01,0.45,27.83,55,103.61
3/28/2013,0,29.8,57,2.5,295.55,7.07,29.56,0.4,28.02,65.15,185.73
3/29/2013,0,28.4,48,3.8,285.71,9.42,39.09,0.84,29.5,84.14,152.36
3/30/2013,0,28.8,54,2.3,287.33,8.81,33.94,0.69,34.16,87.78,119.36
3/31/2013,0,29.2,69,2,277.34,7.83,41.3,0.65,18.88,81.57,105
4/1/2013,2,27.4,62,2,271.46,9.09,45.44,1.95,16.79,68.03,114.33
4/2/2013,0,29.2,71,2,289.86,7.49,27.31,1.28,19.29,76.3,103.67
4/3/2013,0,30,64,2.2,317.46,7.69,26.83,0.53,16.55,86.07,103.71
4/4/2013,0,31.1,50,2.5,316.05,6.17,33.31,0.38,14.01,69.3,112.19
4/5/2013,0,30.2,35,3.3,299.66,7.1,37.42,0.39,31.06,66.59,137.17
4/6/2013,0,29.2,35,3.5,299.11,6.51,35.87,0.44,44.86,73.17,138.46
4/7/2013,0,29.7,64,2.8,309.07,6.63,33.53,0.53,26.18,64.28,122.76
4/8/2013,0,30.6,65,3.4,294.71,6.48,23.05,0.82,13.39,72.79,106.27
4/9/2013,0,30.9,65,2.8,408.89,7.11,20.15,0.45,10.49,47.32,95.94
4/10/2013,0,30.3,69,3,481.72,4.49,24.93,0.32,12.79,37.94,80.47
4/11/2013,0,30.7,69,3,498.35,5.1,26.94,1.11,21.67,40.36,89.36
4/12/2013,0,31.2,68,2.3,516.52,9.02,20.24,0.99,23.33,43.93,87.98
4/13/2013,0,31.1,64,3.7,508.09,5.58,27.57,0.35,25.52,35.47,81.15
4/14/2013,0,29.7,58,4,497.91,5.33,29.77,0.84,29.33,51.39,105.13
4/15/2013,0,28.6,54,2.5,487.97,7.91,43.59,0.84,30.75,52.01,99.79
4/16/2013,0,25.6,69,3.3,447.85,6.84,52.4,0.41,21.97,54.08,104.77
4/17/2013,3,25.6,73,2.5,441,5.68,49.55,0.88,15.55,53.6,109.31
4/18/2013,4,26.7,64,2,472.18,8.17,45.35,0.88,18.65,61.84,108.3
4/19/2013,0,27.5,68,2.5,493.28,11.6,44.68,0.75,21.88,87.78,135.24
4/20/2013,9,27.6,61,2.5,476.57,3.6,39.63,0.63,35.25,60.91,66.66
4/21/2013,0,27.5,66,3,483.08,9.26,41.09,0.63,24.43,90.88,143.83
4/22/2013,0,24.8,73,2,464.61,6.45,41.86,1.53,17.13,57.98,100.47
4/23/2013,1,26.9,68,2,466.16,9.59,41.68,1.38,25.26,82.86,131.51
4/24/2013,0,29,61,2.5,464,9.04,46.3,0.56,32.53,107.24,140.99
4/25/2013,0,30.1,61,4,470,9.03,64.32,1.36,25.77,135.97,209.35
4/26/2013,0,31.5,61,2,468.51,6.87,32.77,1.01,24.37,74.61,122.44
4/27/2013,0,28.4,73,3,449.87,4.47,32.97,0.59,13.7,65.03,84.3
4/28/2013,13,28.4,74,2.7,445.34,4.12,41.91,0.67,17.88,39.5,77.61
4/29/2013,0,30.4,76,2.4,462.97,4.83,34.22,0.48,12.6,37.04,79.53
4/30/2013,0,30.6,75,2.8,471.34,13.34,35.73,1.52,12.94,34.72,83.94
5/1/2013,0,31.3,72,4.4,474.31,8.67,24.85,1.13,13.01,27.5,71.21
5/2/2013,0,31.3,71,3.2,480.13,7.43,36.06,0.75,10.64,24.4,63.97
5/3/2013,0,31.7,64,3.6,485.91,9.48,24.04,1.33,10.34,27.74,67.34
5/4/2013,0,27.9,71,4,438.89,4.91,30.94,0.9,10.15,19.36,51.64
5/5/2013,4,25.2,75,2.8,417.94,6.07,31.98,0.55,10.16,14.88,44.52
5/6/2013,2,23.6,86,3.4,432.03,4.05,32.88,1.06,10.21,23.86,44.03
5/7/2013,17,26.5,84,3,445.47,4.64,40.38,1.08,10.21,29.15,52.44
5/8/2013,18,27.4,81,2,440.93,5.51,34.83,0.92,10.85,18.82,41.74
5/9/2013,40,27.8,82,4,430.24,4.78,32.92,0.73,10.97,32.52,57.33
5/10/2013,0,30.4,78,2.8,437.21,5.07,30.46,0.62,10.34,19.02,45.91
5/11/2013,0,29.7,74,3.8,420.3,5.72,29.69,0.98,11.76,15.53,47.41
5/12/2013,7,26.8,79,2,396.45,3.7,38.95,1.11,16.31,43.7,69.66
5/13/2013,3,28.7,73,2.3,358.13,5.15,35.39,0.61,20.01,36.34,71.26
5/14/2013,19,27.8,76,3.5,394.87,7.47,29.94,0.74,16.06,37.93,63.08
5/15/2013,0,28.5,75,2,497.8,6.62,39.73,1.25,12.42,41,78.9
5/16/2013,3,23.4,91,2.5,306.9,3.33,39.38,1.29,14.06,12.09,30.89
5/17/2013,75,28.8,78,3.3,432.85,5.59,46.04,0.71,15.24,45.98,86.06
5/18/2013,0,28.8,81,3,412,4.25,45.57,1.08,15.51,45.37,107.49
5/19/2013,3,30.6,74,3.7,493.85,6.42,32.64,0.82,15.71,40.4,98.74
5/20/2013,0,27.5,86,2,279.73,4.64,38.32,1.21,12.77,50.56,85.43
5/21/2013,30,26.7,85,2.3,230.87,4.43,40.82,1.93,12.83,41.3,69.19
5/22/2013,4,26.4,87,2,227.48,4.25,41.76,1.36,12.22,38.41,69.7
5/23/2013,1,25.6,91,2,223.25,2.93,38.9,0.95,13.05,44.12,57.6
5/24/2013,109,25.8,89,2.7,221.55,3.44,41.5,0.91,13.85,31.06,49.2
5/25/2013,22,28.4,80,2,304.78,5.45,45.93,1.04,13.66,52.01,70.37
5/26/2013,0,30,76,2,392.3,4.79,38.26,1.53,18.93,35.68,71.46
5/27/2013,0,30,73,2,398.67,4.11,41.42,1.79,14.46,49.35,96.72
5/28/2013,0,29,74,2,416.29,2.52,38.5,0.78,14.94,26.26,58.58
5/29/2013,1,28.4,78,4.6,419.18,9.13,34.78,1.08,16.59,18.66,37.22
5/30/2013,1,26.9,82,6.3,410.62,8.24,29.07,1.05,20.54,20.42,31.68
5/31/2013,19,25.6,82,3,356.88,8.27,31.32,0.85,24.88,14.31,40.07
6/1/2013,12,30.3,78,2,371.26,8.2,34.3,1.2,14.15,46.43,66.27
6/2/2013,0,31,73,3.5,418.85,7.21,29.46,1.14,16.61,30.36,61.59
6/3/2013,0,32.2,71,3.5,461.42,10.92,29,1.63,18.21,41.95,73.86
6/4/2013,0,32.1,72,2,429.65,11.12,31.47,0.56,15.33,61.35,49.61
6/5/2013,0,31.5,74,3.5,470.35,6.12,31.1,0.5,13.98,32.05,53.78
6/6/2013,1,29.2,82,2,453.13,5.33,47.64,0.8,12.7,25.06,56.56
6/7/2013,37,26.4,93,0,431.28,4.29,27.19,1.01,12.83,21.02,27.92
6/8/2013,20,30,77,2.2,454.18,4.87,27.5,0.52,12.64,16.09,52.02
6/9/2013,0,29.7,79,2,454.39,2.99,31.77,0.44,14.5,15.42,50.24
6/10/2013,0,31.2,72,2,463.8,6.09,38.17,0.43,15.04,16.11,56.4
6/11/2013,0,32.1,68,2,473.76,7.27,47.32,0.93,14.52,16.54,63.31
6/12/2013,0,31.2,65,2.7,467.11,6.42,49.45,0.69,13.34,14.73,50.07
6/13/2013,0,30.9,67,2,470.06,6.28,27.24,0.65,12.78,14.18,67.33
6/14/2013,0,29.2,77,2,459.28,3.9,23.48,0.61,13.95,12.67,62.68
6/15/2013,1,30.5,74,2.3,466.27,5.64,33.8,0.38,12.39,20.36,109.17
6/16/2013,0,31.9,67,2,474.37,2.64,36.57,0.84,10.88,15.34,95.55
6/17/2013,0,32,66,2.3,481.65,11.74,31.51,0.69,10.78,17.24,106.09
6/18/2013,0,32.2,67,2,479.81,9.55,30.09,0.43,10.63,14.36,108.72
6/19/2013,0,29.6,81,2.3,409.44,9.31,39.96,1.37,10.28,13.25,89.09
6/20/2013,9,29.7,81,2,342,11.49,47.74,1.16,10.28,18.77,84.8
6/21/2013,34,30.9,74,2,422.2,9.99,34.21,0.82,10.31,12.58,72.09
6/22/2013,11,30.9,73,2,417.08,6.78,43.22,0.56,10.17,15.49,50.89
6/23/2013,0,30.9,73,2.5,424.03,3.82,46.29,0.52,10.28,39.73,63.64
6/24/2013,1,30.3,72,4.5,419.2,9.4,43.84,0.53,10.48,40.23296296,57.75
6/25/2013,1,27.9,87,5.3,400.93,7.42,27.96,0.54,10.42,40.73592593,32.44
6/26/2013,32,28.8,84,2,404.79,3.77,37.78,0.33,10.04,41.23888889,38.65
6/27/2013,10,29.4,83,3,412.38,4.31,36.61,0.67,10.29,41.74185185,41.05
6/28/2013,14,27.4,91,2,408.06,4.62,40.89,1.24,10.06,42.24481481,46.89
6/29/2013,85,26.9,94,3,392.16,2.16,66.4,1.47,10.24,42.74777778,36.35
6/30/2013,57,27.5,88,2,412.55,2.428125,39.98,1.393,10.19,43.25074074,46.1
7/1/2013,5,29.4,79,2,428.78,2.69625,38.21,1.316,10.13,43.7537037,67.66
7/2/2013,0,29.8,76,2,359.8,2.964375,38.88,1.239,10.27,44.25666667,79.02
7/3/2013,0,29.6,78,2,272.61,3.2325,32.95,1.162,9.9,44.75962963,59
7/4/2013,0,28.3,85,2.3,345.51,3.500625,38.04,1.085,9.85,45.26259259,53.52
7/5/2013,28,30.4,75,2.7,477.25,3.76875,39.12,1.008,10.04,45.76555556,48.85
7/6/2013,0,30,76,2.5,479.07,4.036875,35.6,0.931,9.99,46.26851852,56.5
7/7/2013,0,29.5,78,2.2,480.91,4.305,30.85,0.854,9.9,46.77148148,59.45
7/8/2013,0,30.6,73,2.2,487.57,4.573125,28.49,0.777,10.23,47.27444444,48.38
7/9/2013,0,30.3,75,2.3,486.7,4.84125,31.87,0.7,12.61,47.77740741,53.08
7/10/2013,0,30.4,74,2,487.44,5.109375,28.38,0.67,12.3,48.28037037,56.6
7/11/2013,1,29.7,74,3.2,494.97,5.3775,32.16,0.79,11.73,48.78333333,57.67
7/12/2013,0,29.2,80,2.3,497.99,5.645625,26.92,0.41,11.73,49.2862963,46.87
7/13/2013,5,28.6,79,3.7,479.64,5.91375,27.9,0.41,10.55,49.78925926,40
7/14/2013,6,28.7,81,2,479.18,6.181875,32.45,0.81,9.48,50.29222222,59.27
7/15/2013,3,30.5,71,2.8,496.68,6.45,29.63,1.57,9.16,50.79518519,66.27
7/16/2013,0,30,75,2.5,497.36,6.718125,31.8,0.73,8.56,51.29814815,52.03
7/17/2013,1,29.4,76,3.5,483.26,6.98625,38.82,0.47,9.47,51.80111111,61.6
7/18/2013,1,29.8,74,3.2,487.35,7.254375,33.7,0.81,9.11,52.30407407,52.72
7/19/2013,2,28.9,81,2.6,477.66,7.5225,34.91,0.66,8.94,52.80703704,53.93
7/20/2013,41,28.7,83,2,466.7,7.790625,36.91,0.59,9.4,53.31,48.53
7/21/2013,11,30.1,73,2,473.31,8.05875,38.1,0.94,10.01,15.7,63.74
7/22/2013,2,31.1,69,2.7,484.66,8.326875,39.91,0.52,10.75,14.69,63.7
7/23/2013,0,30.9,69,2.2,489.37,8.595,39.88,0.53,11.15,15.73809524,58.77
7/24/2013,1,30.6,70,2,496.42,8.863125,42.87,0.56,12.44,16.78619048,58.45
7/25/2013,0,29.4,76,2.8,514.39,9.13125,42.41,0.46,10.48,17.83428571,35.29
7/26/2013,5,27.7,87,4.5,475.71,9.399375,43.06,0.5,11.59,18.88238095,34.49
7/27/2013,29,26.9,90,2,465.76,9.6675,40.54,0.82,10.43,19.93047619,26.27
7/28/2013,122,26.1,92,2,453.75,9.935625,52.87,1.23,10.38,20.97857143,38.69
7/29/2013,35,27.9,82,2.3,505.08,10.20375,45.37,0.61,10.16,22.02666667,44.72
7/30/2013,3,29.1,76,2.8,485.02,10.471875,49.1,0.91,10.22,23.0747619,50.69
7/31/2013,1,28.3,79,2.5,468.13,10.74,47.5,0.98,10.14,24.12285714,51.01
8/1/2013,4,29.1,78,3.3,462.85,7.39,50.34,0.53,10.1,25.17095238,60.75
8/2/2013,6,30.2,74,2.8,476.67,3.72,40.87,0.54,10.16,26.21904762,62.27
8/3/2013,0,30.2,79,2,497.78,5.56,50,0.76,10.39,27.26714286,58.70375
8/4/2013,17,29.2,80,2,555.83,6.51,51.79,1.08,10.02,28.3152381,55.1375
8/5/2013,0,29.2,74,2.7,577.56,1.99,41.48,0.61,9.69,29.36333333,51.57125
8/6/2013,3,26.9,87,2,502.59,3.13,44.75,0.51,9.46,30.41142857,48.005
8/7/2013,20,27.5,88,2.5,504.02,3.96,48.89,0.5,9.37,31.45952381,44.43875
8/8/2013,39,28.3,80,2.5,482.34,3.14,36.82,0.8,9.29,32.50761905,40.8725
8/9/2013,1,29.7,75,3,532.78,4.48,36.38,0.93,9.26,33.55571429,37.30625
8/10/2013,1,27.6,87,1.7,501.76,4.39,28.24,0.79,8.97,34.60380952,33.74
8/11/2013,18,27.7,85,2,498.3,2.72,38.24,0.68,8.99,35.65190476,30.17375
8/12/2013,4,28.1,85,2,526.55,6.18,47.93,0.57,9.1,36.7,26.6075
8/13/2013,4,29.4,78,2,491.25,10.46,30.7,1.26,8.86,14.22,23.04125
8/14/2013,1,28.2,84,2.7,490.45,7.5,33.51,0.73,8.83,14.62,19.475
8/15/2013,0,27.6,88,2,480.41,2,38.94,1.07,9.06,11.78,15.90875
8/16/2013,30,27.6,87,2.3,483.16,10.87,41.63,0.82,8.9,13.57,12.3425
8/17/2013,8,28.6,80,2.3,489.25,8.77,41.97,0.8,8.79,13.6,8.77625
8/18/2013,1,28.4,78,3,493.61,4.27,38.7,1.13,8.92,12.2,5.21
8/19/2013,0,28.4,76,3.5,501.33,3.09,38.49,0.6,8.97,13.4,7.07
8/20/2013,0,27.1,85,5,505.72,2.64,38,0.82,8.89,11.61,7.044
8/21/2013,1,27.9,84,2.3,523.3,3.6,49,0.78,9.11,13.73,7.018
8/22/2013,11,29,79,2.3,552.5,3.84,50.44,0.84,8.98,12.78,6.992
8/23/2013,7,30.2,75,2.7,591.22,3.39,36.8,0.65,8.55,13.08,6.966
8/24/2013,0,30.1,75,2,589.95,5.04,28.09,0.79,8.37,12.82,6.94
8/25/2013,0,31.3,72,2,559.04,6.38,27.88,0.47,8.52,12.64,5.43
8/26/2013,0,28.7,83,2.5,499.96,4.97,35.32,0.43,8.71,12.42,3.92
8/27/2013,17,28,84,2,516.87,8.29,46.14,1.02,9.03,5.51,5.5
8/28/2013,5,28.6,81,2.3,484.65,7.86,35.29,0.72,9.15,13,30.77
8/29/2013,4,28.7,82,3,455.22,7.767777778,37.87,0.730727273,9.190740741,39.84,38.53
8/30/2013,9,29.3,80,2.2,460.13,7.675555556,32.05,0.741454545,9.231481481,56.28,37.82
8/31/2013,1,29,85,2.3,460.13,7.583333333,42.01,0.752181818,9.272222222,59.96346154,48.6
9/1/2013,0,29,87,2,455.4,7.491111111,41.72117647,0.762909091,9.312962963,63.64692308,52.39439024
9/2/2013,2,29.1,79,2.3,450.67,7.398888889,41.43235294,0.773636364,9.353703704,67.33038462,56.18878049
9/3/2013,1,29,80,2,445.94,7.306666667,41.14352941,0.784363636,9.394444444,71.01384615,59.98317073
9/4/2013,5,29.1,81,2,441.21,7.214444444,40.85470588,0.795090909,9.435185185,74.69730769,63.77756098
9/5/2013,11,28.8,84,2.5,436.48,7.122222222,40.56588235,0.805818182,9.475925926,78.38076923,67.57195122
9/6/2013,4,29.3,82,2,431.75,7.03,40.27705882,0.816545455,9.516666667,82.06423077,71.36634146
9/7/2013,5,29.3,78,2.3,427.02,6.937777778,39.98823529,0.827272727,9.557407407,85.74769231,75.16073171
9/8/2013,0,25.8,94,2,422.29,6.845555556,39.69941176,0.838,9.598148148,89.43115385,78.95512195
9/9/2013,0,27.8,84,2,417.56,6.753333333,39.41058824,0.848727273,9.638888889,93.11461538,82.7495122
9/10/2013,0,27.8,83,2,412.83,6.661111111,39.12176471,0.859454545,9.67962963,96.79807692,86.54390244
9/11/2013,0,28.8,83,0,408.1,6.568888889,38.83294118,0.870181818,9.72037037,100.4815385,90.33829268
